"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.001798811252228916,3.435476303100586,0.05996646732091904,85.0,1.0,3.0,3.436,1464424773.0,1464424773.0
0.003004823578521609,3.443273305892944,0.1804543733596802,79.0,3.0,5.0,3.448,1464424777.0,1464424777.0
0.003601169446483254,3.438862323760986,0.3008616268634796,71.0,5.0,6.0,3.452,1464424782.0,1464424782.0
0.004803374875336886,3.44016170501709,0.4223991334438324,69.0,7.0,8.0,3.466,1464424787.0,1464424787.0
0.00539286294952035,3.433200359344482,0.54376620054245,86.0,9.0,9.0,3.476,1464424791.0,1464424791.0
0.006611133925616741,3.443541765213013,0.66935795545578,31.0,11.0,11.0,3.508,1464424796.0,1464424796.0
0.008379786275327206,3.429467439651489,-0.05986175313591957,86.0,14.0,14.0,3.43,1464424803.0,1464424803.0
0.01379887759685516,3.437448740005493,0.06000137329101563,90.0,1.0,23.0,3.438,1464424828.0,1464424828.0
0.01505021657794714,3.449233531951904,0.1807683855295181,83.0,3.0,25.0,3.454,1464424833.0,1464424833.0
0.01560501661151648,3.438828706741333,0.3008616268634796,71.0,5.0,26.0,3.452,1464424837.0,1464424837.0
0.01683115214109421,3.444093942642212,0.4228866100311279,69.0,7.0,28.0,3.47,1464424842.0,1464424842.0
0.01796579174697399,3.431182146072388,0.5434533357620239,86.0,9.0,30.0,3.474,1464424847.0,1464424847.0
0.01856756396591663,3.431718349456787,0.6670682430267334,34.0,11.0,31.0,3.496,1464424851.0,1464424851.0
0.02037454210221767,3.433416604995728,-0.05993156507611275,86.0,14.0,34.0,3.434,1464424858.0,1464424858.0
0.02575270645320416,3.431380748748779,0.05989665910601616,85.0,1.0,43.0,3.432,1464424883.0,1464424883.0
0.02710588276386261,3.451157331466675,0.1808730661869049,78.0,3.0,45.0,3.456,1464424888.0,1464424888.0
0.02760867401957512,3.438753366470337,0.3008616268634796,69.0,5.0,46.0,3.452,1464424893.0,1464424893.0
0.02881992235779762,3.440044164657593,0.4223991334438324,69.0,7.0,48.0,3.466,1464424897.0,1464424897.0
0.02942837215960026,3.440980434417725,0.545017659664154,87.0,9.0,49.0,3.484,1464424902.0,1464424902.0
0.03054638393223286,3.43163275718689,0.6670682430267334,33.0,11.0,51.0,3.496,1464424906.0,1464424906.0
0.03243466466665268,3.441322803497315,-0.0600711815059185,86.0,14.0,54.0,3.442,1464424913.0,1464424913.0
0.03784023970365524,3.441267728805542,0.0600711815059185,87.0,1.0,63.0,3.442,1464424939.0,1464424939.0
0.03915250301361084,3.451041698455811,0.1808730661869049,79.0,3.0,65.0,3.456,1464424943.0,1464424943.0
